molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL1224488,C/N=C(\NC)SCc1ccc(Cl)cc1.[O-][Cl+3]([O-])([O-])O,inactive,21000.0
CHEMBL538001,CSC(=N)Nc1ccc(Cl)cc1.I,inactive,100000.0
CHEMBL1224489,CSC(=N)NCCc1ccc(Cl)cc1.I,inactive,100000.0
CHEMBL1088499,NC(=S)Nc1ccc(Cl)cc1,inactive,100000.0
CHEMBL1224552,NC(=S)NCCc1ccc(Cl)cc1,inactive,100000.0
CHEMBL1224553,NC(=O)NCc1ccc(Cl)cc1,inactive,100000.0
CHEMBL13218,NCc1ccc(Cl)cc1,inactive,100000.0
CHEMBL477764,NCCc1ccc(Cl)cc1,inactive,100000.0
CHEMBL1224554,OCc1ccc(Cl)cc1,inactive,100000.0
CHEMBL1224555,SCc1ccc(Cl)cc1,intermediate,3200.0
CHEMBL1224556,SCc1ccccc1Cl,intermediate,1200.0
CHEMBL1224557,SCc1ccccc1,intermediate,1700.0
CHEMBL1224558,Fc1ccc(CS)cc1,intermediate,1800.0
CHEMBL1224559,Cc1ccc(CS)cc1,intermediate,1300.0
CHEMBL1224560,COc1ccc(CS)cc1,intermediate,1400.0
CHEMBL1224561,SCc1ccc(Cl)cc1Cl,intermediate,3500.0
CHEMBL1224626,SCc1ccc(Cl)c(Cl)c1,active,100.0
CHEMBL332901,Sc1ccc(Cl)cc1,intermediate,1900.0
CHEMBL1237213,O=S([O-])c1ccc(Cl)cc1.[Na+],inactive,100000.0
CHEMBL1224628,O=S(=O)(O)c1ccc(Cl)cc1,inactive,100000.0
CHEMBL1224309,Cl.N=C(N)SCc1ccccc1,inactive,10000.0
CHEMBL1224310,Cl.N=C(N)SCc1ccccc1Cl,intermediate,4800.0
CHEMBL1224311,Cl.N=C(N)SCc1cccc(Cl)c1,intermediate,1400.0
CHEMBL1224312,Cl.N=C(N)SCc1ccc(Cl)cc1,active,600.0
CHEMBL1224313,Cl.N=C(N)SCc1ccc(F)cc1,intermediate,2000.0
CHEMBL1224314,Br.N=C(N)SCc1ccc(Br)cc1,active,800.0
CHEMBL1224315,Cc1ccc(CSC(=N)N)cc1.Cl,intermediate,6800.0
CHEMBL1224390,CCc1ccc(CSC(=N)N)cc1.Cl,intermediate,2500.0
CHEMBL1224391,Br.CC(C)c1ccc(CSC(=N)N)cc1,inactive,20000.0
CHEMBL1224392,Br.CC(C)(C)c1ccc(CSC(=N)N)cc1,inactive,20000.0
CHEMBL1224393,Cl.N=C(N)SCc1ccc(C(F)(F)F)cc1,intermediate,1200.0
CHEMBL1224394,COc1ccc(CSC(=N)N)cc1.Cl,inactive,10000.0
CHEMBL1224395,Br.N#Cc1ccc(CSC(=N)N)cc1,intermediate,2600.0
CHEMBL1224396,Cl.N=C(N)SCc1ccc([N+](=O)[O-])cc1,intermediate,2200.0
CHEMBL1224397,Cl.N=C(N)SCc1ccc(C(=O)O)cc1,inactive,20000.0
CHEMBL1224398,Br.CS(=O)(=O)c1ccc(CSC(=N)N)cc1,inactive,10000.0
CHEMBL1224482,Br.N=C(N)SCc1ccc(C(=O)c2ccccc2)cc1,inactive,20000.0
CHEMBL1224483,Br.N=C(N)SCc1ccc(Cl)cc1Cl,intermediate,1100.0
CHEMBL1224484,Cl.N=C(N)SCc1ccc(Cl)c(Cl)c1,intermediate,7300.0
CHEMBL1224485,Br.N=C(N)SCCc1ccccc1Cl,inactive,20000.0
CHEMBL1224486,Br.N=C(N)SCCc1cccc(Cl)c1,inactive,20000.0
CHEMBL1224487,Br.N=C(N)SCCc1ccc(Cl)cc1,inactive,20000.0
CHEMBL1224488,C/N=C(\NC)SCc1ccc(Cl)cc1.[O-][Cl+3]([O-])([O-])O,inactive,20000.0
CHEMBL538001,CSC(=N)Nc1ccc(Cl)cc1.I,inactive,20000.0
CHEMBL1224489,CSC(=N)NCCc1ccc(Cl)cc1.I,inactive,20000.0
CHEMBL1088499,NC(=S)Nc1ccc(Cl)cc1,inactive,20000.0
CHEMBL1224552,NC(=S)NCCc1ccc(Cl)cc1,inactive,20000.0
CHEMBL1224553,NC(=O)NCc1ccc(Cl)cc1,inactive,20000.0
CHEMBL13218,NCc1ccc(Cl)cc1,inactive,20000.0
CHEMBL477764,NCCc1ccc(Cl)cc1,inactive,20000.0
CHEMBL1224554,OCc1ccc(Cl)cc1,inactive,20000.0
CHEMBL1224555,SCc1ccc(Cl)cc1,intermediate,1100.0
CHEMBL1224556,SCc1ccccc1Cl,inactive,15000.0
CHEMBL1224557,SCc1ccccc1,inactive,13000.0
CHEMBL1224558,Fc1ccc(CS)cc1,intermediate,1900.0
CHEMBL1224559,Cc1ccc(CS)cc1,intermediate,6500.0
CHEMBL1224560,COc1ccc(CS)cc1,intermediate,9400.0
CHEMBL1224561,SCc1ccc(Cl)cc1Cl,intermediate,4600.0
CHEMBL1224626,SCc1ccc(Cl)c(Cl)c1,intermediate,1100.0
CHEMBL332901,Sc1ccc(Cl)cc1,inactive,20000.0
CHEMBL1237213,O=S([O-])c1ccc(Cl)cc1.[Na+],inactive,20000.0
CHEMBL1224628,O=S(=O)(O)c1ccc(Cl)cc1,inactive,20000.0
CHEMBL407954,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(NCc2ccccc2)C1O,active,55.0
CHEMBL260961,CCCCNC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,active,130.0
CHEMBL556930,CC1(C)C=CC2=C(O1)C(=O)c1cccc(O)c1C2=O,active,190.0
CHEMBL271827,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(N2CCOCC2)C1O,active,360.0
CHEMBL1241911,CC1=C(SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(=O)c2c(O)cccc2C1=O,active,880.0
CHEMBL55934,O=C1C=CC(=O)c2ccccc21,active,990.0
CHEMBL590,CC1=CC(=O)c2ccccc2C1=O,intermediate,1100.0
CHEMBL270951,CC1(C)C=CC2=C(O1)C(=O)c1cc(O)ccc1C2=O,intermediate,2000.0
CHEMBL262354,COc1cccc2c1C(=O)C1=C(C=CC(C)(C)O1)C2=O,intermediate,2920.0
CHEMBL443067,COC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,intermediate,3960.0
CHEMBL1240901,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C2OC21,intermediate,4950.0
CHEMBL505230,Oc1ccc(F)cc1-c1cc[nH]n1,inactive,26000.0
CHEMBL450612,CSc1ccccc1-c1c[nH]cn1,inactive,38000.0
CHEMBL510926,CSc1cccc(-c2c[nH]cn2)c1,inactive,73000.0
CHEMBL456084,Fc1ccccc1-c1c[nH]cn1,inactive,179000.0
CHEMBL447965,c1csc(-c2c[nH]cn2)c1,inactive,422000.0
CHEMBL507123,O=Cc1cccc(-c2c[nH]cn2)c1,inactive,825000.0
CHEMBL504816,Cn1cc(C[C@H](N)C(=O)O)c2ccccc21,inactive,100000.0
CHEMBL1668301,O=C(Cc1cccnc1)c1cc2ccccc2[nH]1,inactive,65000.0
CHEMBL1668303,O=C(Cc1cccnc1)c1cc2c(F)cccc2[nH]1,inactive,153000.0
